"danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","preference"
0.339,0.581,-7.513,0.123,0.0272,0.00113,0.121,0.303,76.187,"positive"
0.597,0.841,-5.825,0.0714,0.0235,0.718,0.333,0.581,77.513,"positive"
0.7,0.546,-7.705,0.109,0.0131,0.0305,0.172,0.302,80.004,"positive"
0.694,0.388,-11.948,0.047,0.424,0.921,0.117,0.479,104.983,"positive"
0.832,0.74,-4.421,0.0783,0.253,1.37e-05,0.23,0.487,127.867,"positive"
0.581,0.935,-6.779,0.0439,0.318,0.359,0.213,0.583,122.014,"positive"
0.724,0.376,-13.95,0.0331,0.235,0.843,0.111,0.115,113.993,"positive"
0.417,0.806,-6.634,0.0882,0.00386,0.0232,0.281,0.0398,127.952,"positive"
0.556,0.661,-5.052,0.204,0.3,0,0.101,0.668,168.56,"negative"
0.702,0.554,-6.927,0.676,0.158,0,0.0749,0.213,127.124,"negative"
0.206,0.0999,-17.834,0.039,0.982,0.868,0.106,0.0576,74.726,"positive"
0.765,0.509,-7.624,0.0289,0.257,0,0.106,0.422,118.018,"positive"
0.512,0.611,-6.027,0.0505,0.28,0.000793,0.0935,0.289,77.027,"positive"
0.56,0.633,-6.252,0.271,0.399,0,0.109,0.306,156.002,"positive"
0.787,0.531,-10.569,0.101,0.132,0.00094,0.112,0.721,91.996,"negative"
0.645,0.44,-9.838,0.0357,0.0239,0.851,0.0854,0.174,80.017,"positive"
0.56,0.558,-9.493,0.495,0.115,0,0.137,0.801,82.991,"negative"
0.53,0.58,-6.002,0.0503,0.344,0,0.0997,0.26,131.859,"negative"
0.918,0.607,-4.887,0.257,0.281,0,0.0843,0.45,118.006,"positive"
0.646,0.35,-9.859,0.343,0.818,0.014,0.1,0.281,196.015,"positive"
0.779,0.792,-6.054,0.263,0.115,0,0.11,0.473,96.028,"negative"
0.806,0.565,-8.96,0.113,0.47,0,0.0824,0.311,116.963,"negative"
0.438,0.384,-12.811,0.0291,0.643,0.622,0.692,0.0398,122.003,"positive"
0.806,0.649,-9.004,0.0347,0.0391,5.55e-05,0.0557,0.897,114.834,"positive"
0.581,0.19,-12.557,0.0366,0.959,0.258,0.115,0.0405,150.966,"negative"
0.348,0.513,-6.283,0.104,0.331,0.000243,0.15,0.362,87.725,"positive"
0.663,0.577,-7.518,0.0531,0.109,0,0.12,0.454,89.996,"negative"
0.778,0.319,-10.915,0.0824,0.837,0.000787,0.116,0.353,133.084,"negative"
0.649,0.716,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,"positive"
0.649,0.733,-8.462,0.3,0.0679,0,0.122,0.498,150.874,"negative"
0.474,0.162,-23.167,0.0327,0.946,0.945,0.0868,0.181,149.805,"positive"
0.929,0.605,-6.099,0.181,0.0762,0,0.11,0.755,138.103,"negative"
0.848,0.434,-13.63,0.0577,0.429,0.925,0.126,0.137,124.007,"positive"
0.638,0.505,-8.652,0.0435,0.101,0.662,0.239,0.0419,134.982,"positive"
0.621,0.285,-19.796,0.0335,0.311,0.9,0.122,0.0576,90.027,"positive"
0.68,0.857,-4.591,0.238,0.204,0,0.0414,0.924,94.928,"negative"
